titulli,id,kategoria
"Toronto e mund Minnesotan, fitojnë edhe Bucks ndaj Sacramento",881466,Sport
"Këtë fundjavë, GO+ nisë garën e madhe të skijimit në Brezovicë",881420,Biznes
Mediat në Angli e zbulojnë se Guardiola mund të kalojë te gjiganti evropian,881359,Sport
"Pas largimit nga Roma, kjo është puna e re e Francesco Tottit",881342,Sport
Ylli i Kosovës pranë kalimit te skuadra e madhe kroate,881266,Sport
Nesër fillon Final 8 i Kupës së Kosovës – gjithçka që duhet të dini,881258,Sport
"E bujshme, skuadra që po garon për titull futet në garë për Muriqin",881224,Sport
Fenerbahce i cakton çmimin Manchester Unitedit për Muriqin,881197,Sport
Lajm i madh për Kosovën – ja kur kthehet Arbër Zeneli,881161,Sport
Mbrojtësi i kombëtares shqiptare në radarin e katër gjigantëve të Evropës,881133,Sport
"Kosova, me tre garues në Evropianin e mundjes",881083,Sport
“Messi s’do të ishte në gjendje të luajë në Premierligë”,881068,Sport
E pabesueshme sa bileta janë shitur brenda dy orëve në Rahovec për “Final 8”,881021,Sport
Ky është anglezi që e mposhti koronavirusin,881492,Bota
"SHBA, Akuza ndaj Kinës për pirateri",881459,Bota
Trump kërcënon: Do ta bëjë armën më të fuqishme nukleare në botë,881443,Bota
"​Trump sikur Nostradamusi, parashikon fundin e koronavirusit",881294,Bota
"1018 numri i viktimave të coronavirusit, shënohet rekord ditor",881290,Bota
"Kina i largon nga detyra disa zyrtarë, shkak coronavirusi",881284,Bota
Brenda jahtit mbresëlënës që Bill Gates e bleu për 600 milionë dollarë [foto],881239,Bota
"Shikoni çfarë sherri fillojnë disa kamionistë në Itali, njëri prej tyre shqiptar",881125,Bota
Pamje të tmerrshme nga Koronavirusi – shikoni si “paketohen” njerëzit në Kinë,881097,Bota
Pamje të rënda – momenti kur policia vret ushtarin tajlandez,881089,Bota
"“Stuhia Ciara”, pamje të tmerrshme të Aeroplanit që s’mundi të aterrojë as për herën e pestë",881047,Bota
"​Biznesmeni i infektuar shpërndan virusin, qindra vetë nën testime",881032,Bota
​KE kërkon falje për deklaratën e Borrell për Greta Thunberg,881001,Bota
"Presidenti kinez shfaqet në publik pas një kohe të gjatë, nuk i shpëton kontrollit për virus",880997,Bota
Historia e vajzës që si 14-vjeçare u përdhunua dhe videot e sulmit dolën në një faqe të filmave për të rritur,880972,Bota
KE kërkon sërish falje për komentet e Borrellit rreth “sindromës Greta”,880954,Bota
"​Britania: Koronavirusi, kërcënim serioz",880927,Bota
Forcat e SHBA po ndërtojnë bazë të re në veri të Sirisë,880918,Bota
Nis rigjykimi për keqpërdorim pozite ndaj ish-zyrtarit të Bankës Ekonomike,882403,Lajme
Guardiola i befason të gjithë: Ja pse jam i suksesshëm,882408,Sport
"Aksident i rëndë në Rahovec- Vetura godet kamionin e mbeturinave, lëndohen dy persona",882390,Lajme
"Regjisori nga Los Angelesi që beson se Tupacu është gjallë, do të xhirojë film për “ikjen e tij”",882382,CultBiz&Review
Këto janë të gjitha vendimet që sot i mori Qeveria Kurti,882385,Lajme
​Tërmet i fuqishëm godet Japoninë,882380,Bota
Bajqinovci i gëzohet vendimit të Qeverisë për të mos ia vazhduar mandatin e plotë drejtorit të Doganës,882370,Lajme
Vendimi i Albin Kurtit për uljen e pagave “përjashtoi” Prokurorët dhe Gjyqtarët – Albulena Haxhiu tregon arsyen,882372,Lajme
Kobe Bryant dhe vajza e tij janë varrosur javën e kaluar,882322,CultBiz&Review
Kurti pritet të ballafaqohet për herë të parë me Vuçiqin në Berlin,882336,Lajme
​Protestuesit e kërkojnë që Albin Kurti të shkojë në Stantërg,882364,Lajme
"Pas Vjosa Osmanit, tani ministri i VV-së e largon fotografinë e Presidentit Thaçi",882357,Lajme
Besnik Bislimi shpallë të hapur konkursin për pozitën e Drejtorit të Doganës së Kosovës,882350,Lajme
"Drejtori tërheq nga shalli mësimdhënësen e shkollës, rasti shkon në Polici",882339,Lajme
FIFA krijon fond për të ndihmuar lojtarët që nuk paguhen nga klubet që shuhen,882344,Sport
"Ish-ministri Mustafa për skandalin e gazit: S`kam çka prononcohem, ju po dini ma shumë se rregulloret",882314,Lajme
"Asgjë s’është ‘Bentley’ i Morena Tarakut, çka është ‘G-Class Brabus-i’ shumëmilionësh i Ronaldos",882327,CultBiz&Review
Lama i reagon Pacollit për paralajmërimin për padi: Është e dukshme se ka pasur shkelje ligjore,882328,Lajme
Qeveria ndau mjete financiare për Istogun dhe Pejën,882307,Lajme
Khloe Kardashian i la nën hije motrat në ndejën e Beyonce dhe Jay Z,882308,CultBiz&Review
FIFA krijon fond për të ndihmuar lojtarët që nuk paguhen nga klubet që shuhen,882344,Sport
"Dita e dytë e Final 8, këto janë ndeshjet që zhvillohen sot",882243,Sport
"Harden magjik për Houston, Clippers ngecin në fushën e Philadelphias [Video]",882207,Sport
Kobe dhe Gianna u varrosën javën e kaluar – zbulohen detajet,882124,Sport
Ferrari e zbulon makinën e re për 2020 – pamje,882118,Sport
Ky është ​çiklisti që xhiroi live vdekjen e Kobe Bryant,882073,Sport
"Milan synon talentin me origjinë boshnjake, por i trembet çmimit të tij",882010,Sport
"Yaya Toure i trembet koronavirusit, largohet nga Kina",881940,Sport
Soros paralajmëron: Presidenti i Kinës paraqet kërcënim për BE,882279,Bota
"Rastet e koronavirusit bien, ekspertët nuk pajtohen",882266,Bota
SHBA i bën thirrje Kinës të pranojë ndihmën amerikane për koronavirusin,882197,Bota
Mediet: CIA dhe BND së bashku kanë përgjuar 120 shtete,882188,Bota
Irlanda Veriore miraton ligjin e martesave me të njëjtin gjini,882109,Bota
"​Shpërthim në një zyrë postare në Amsterdam, në pyetje letra-bombë?",882085,Bota
Ishulli në skajin e botës ku mund të flini vetëm në një vend të caktuar,882065,Bota
"​Serish në Hënë, amerikanët kërkojnë ende para",882036,Bota
Sëmundja e shkaktuar nga koronavirusi tash ka një emër të ri,881807,Bota
Së paku shtatë të vdekur nga stuhia Ciara në Evropë,881690,Bota
Maduro: Venezuela do t’i padisë SHBA në Gjykatën Ndërkombëtare të Drejtësisë,881684,Bota
Disa të vrarë nga sulmi në një akademi ushtarake në Afganistan,881660,Bota
Erdogan thotë se qeveria siriane do të paguajë çmimin e sulmeve në Idlib,881627,Bota
Nju Hempshër në prag të zgjedhjeve paraprake të demokratëve,881618,Bota
Merr qentë në takime për t’i frikësuar liderët: Fakte rreth Vladimir Putin,881590,Bota
​Krizë e re familjare në mbretërinë britanike,881571,Bota
Turqia thotë se ka “neutralizuar” 101 ushtarë sirianë,881566,Bota
"Asgjë s’është ‘Bentley’ i Morena Tarakut, çka është ‘G-Class Brabus-i’ shumëmilionësh i Ronaldos",882327,CultBiz&Review
Khloe Kardashian i la nën hije motrat në ndejën e Beyonce dhe Jay Z,882308,CultBiz&Review
Arbenita merr vëmendje me pozat e reja teksa shfaqet me të brendshme,881985,CultBiz&Review
"Vajzë kaq joshëse si kjo modele shqiptare, s’keni parë moti",881997,CultBiz&Review
"Artisti i makijazhit, James Charles transformohet si Dua Lipa – ngjashmëria e tyre është ‘e frikshme’",881972,CultBiz&Review
"Stresi uron ish-të dashurën për ditëlindje, a janë rikthyer sërish bashkë?",881966,CultBiz&Review
"Tayna bën ndryshimin e ri në dukje, kthehet sërish në rozë",881778,CultBiz&Review
Alketa Vejsiu tregon se si arriti dhe nëse pagoi për në Sanremo,881691,CultBiz&Review
Pija që shpëton nga vrasësi i heshtur,882044,Life
"Shoku i dhomës së Astrit Deharit, nga arratia ka një kërkesë për Albulena Haxhiun",882664,Lajme
Albin Kurti emëron edhe një zëvendësministër,882660,Lajme
"Pas publikimit të audio incizimit, reagon për herë të parë Morena Taraku",882653,CultBiz&Review
“Dardanët” gati për ndeshjen me Islandën,882562,Sport
"A do të ketë sigurime shëndetësore, tregon ministri i ri i Shëndetësisë",882646,Lajme
Rrëfehet babai i djalit që u keqtrajtua në çerdhe: Isha i shqetësuar për gjendjen e tij,882642,Lajme
Kina e lanson aplikacionin që zbulon koronavirusin,882638,Bota
Ministrat e Haradinajt do të marrin paga edhe për një vit,882630,Lajme
“E bëre “Sanremo-n” sikur ke shkuar në Mars”: Alketa Vejsiu i mbyll gojën komentuesit,882631,CultBiz&Review
Erza Muqolli së shpejti me koncert në Prishtinë,882620,CultBiz&Review
"Reagon Razije Musa, edukatorja që u filmua duke ‘shkundur’ fëmijën",882623,Lajme
Kosova duhet të ishte e fundit prej nga qeveria shqiptare do të merrte armë për të helmuar popullin,882619,OP-ED
"Historia tronditëse e vajzës me katër gjokse, që tentoi vetëvrasjen",882605,Lifestyle
"Aksident i rëndë trafiku, lëndohen pesë persona",882609,Lajme
Bizneset e Kosovës hezitojnë të shesin produkte serbe edhe nëse hiqet taksa,882606,Lajme
Rrëfimi prekës i fëmijëve që i mbijetuan eksplozivit në Zhur: Polici që u vra na shpëtoi,882601,Lajme
Keqtrajtimi i fëmijëve në “Cambridge Kids” – reagon Ministria e Arsimit,882598,Lajme
Adriana Matoshi ju dhuron super shpërblime sot në TapQuiz; Luaj dhe fito,882594,Biznes
Policia konfiskon arsenal armësh në Pejë,882590,Lajme
Glauk Konjufca pret ambasadorin amerikan Philip Kosnett,882586,Lajme
“Dardanët” gati për ndeshjen me Islandën,882562,Sport
"Lajme të kqija për Lazion, Lulic mungon ndaj Interit",882568,Sport
Ziyech te gjiganti anglez për 50 milionë euro,882523,Sport
"Koronavirusi, shtyhet gara e Çmimit të Madh të Kinës",882484,Sport
"Feronikeli është gjysmëfinalisti i fundit, mposhti Lirinë në çerekfinale",882463,Sport
"Si e përfitoi villën 500 mijë euro në “Rolling Hills”, drejtoresha e Raiffeisen Bank",882754,Lajme
Kurti godet Ramën: Minischengeni Ballkanik është Jugosllavia e katërt,882748,Lajme
"Pas Shqipërisë, Albin Kurti do ta vizitojë Gjermaninë",882750,Lajme
Dy personat që tmerruan një familje në Istog dënohen me 10 vjet burg,882745,Lajme
Kjo është artistja që shkoi me rroba të vjetra në Oscars,882741,CultBiz&Review
Fotografi që tregojnë më së mirë atësinë,882735,Këshilla
Policia e Kosovës reagon pas sulmit ndaj aktivistëve në UP,882729,Lajme
Gazetarja Ilda Bejleri aksidenton rëndë 64-vjeçaren dhe largohet nga vendngjarja,882727,Lajme
Aktivisti që u sulmua në Fakultetin Filozofik: Logjika thotë se ata janë njerëz të Saimir Manes,882710,Lajme
"E bujshme, kampioni evropian kërkon mbrojësin shqiptar",882719,Sport
"Aksident në Lipjan, vetura godet një vajzë",882716,Lajme
"Shefja e BE-së në Kosovë i shkon në zyrë Agim Veliut, ja për çka diskutuan",882712,Lajme
Bashkëshortja e Mendim Rugovës reagon për shkarkimin e burrit të saj,882706,Lajme
Edhe kështu luhet në Spanjë! ,882701,Sport
Sulm brutal ndaj studentëve kosovarë që diskutonin për gjendjen e tmerrshme të punëtorëve të biznesmenit miliarder,882690,Lajme
Dafina publikon “Merri Krejt” me një klip interesant,882684,CultBiz&Review
Dokumentari i ri që po çmend njerëzit: Tupac është gjallë dhe ndodhet në këtë vend,882687,CultBiz&Review
"Flet nëna e djalit që dyshohet se u rrah në çerdhe: Djali refuzonte të shkonte në çerdhe, qante natën",882685,Lajme
"“S’jam tradhtare e kombit”, Rina Balaj sqaron edhe një herë origjinën e të dashurit",881507,CultBiz&Review
"E bujshme, kampioni evropian kërkon mbrojësin shqiptar",882719,Sport
Edhe kështu luhet në Spanjë! ,882701,Sport
"Ushtronte dhunë në familje, arrestohet babai i aktores së njohur",882680,CultBiz&Review
“Çmenduri” në Gjilan – profesori ia qeth flokët nxënësit para shokëve të klasës,882762,Lajme
"Sigal Prishtina eliminohet nga Final 8, Ylli kalon në gjysmëfinale",882759,Sport
Kurti emëron Jusuf Thaçin zevendës ministër të Arsimit,883259,Lajme
"Rrënohet një objekt në Prishtinë, paraqiste rrezik për banorët",883255,Lajme
"Kërkohet paraburgim për dy persona në Suharekë, e mashtruan një turk",883247,Lajme
​Bajrami premton se politika nuk do të ndërhyjë në punën e universiteteve,883249,Lajme
Këngëtari që humbi qindra-mijëra euro si sakrificë për vizat dhe që me vullnet paguan tatime,883243,Lajme
Franca nuk e përjashton Huawein nga rrjeti 5G,883239,Biznes
Rina Balaj thotë se nuk është tradhtare e kombit,883234,CultBiz&Review
"Gati për sulm, luftëtaret anti-ISIS kafshojnë lepuj dhe gjarpërinj të gjallë",883231,Bota
"Derisa Serbia pretendon se është në rrugë kah BE, ajo vazhdon të armatoset nga Rusia",883227,Lajme
"Nuk votohet për komisionet, Osmani thërret mbledhje të kryesisë",883223,Lajme
Kërkohet paraburgim për dy edukatoret e “Cambridge Kids”,883215,Lajme
"U kthye në fushë pas operacionit në zemër, flet lojtari i Ajaxit",883211,Sport
Uran Ismaili: Nuk po e kuptoj si ndryshuan parimet,883204,Lajme
Mbi 3 milionë rusë nuk udhëtuan për shkak të borxheve më 2019,883198,Bota
Zyrtari i AAK-së e krahason Vjosa Osmanin me Linda Morinen,883190,Lajme
Senati çon përpara rezolutën që kufizon veprimet e Trumpit kundër Iranit,883068,Bota
Presidenti Thaçi injoron ftesën e kryeministrit Kurti,883180,Lajme
Nexhmije Pagarusha kishte kërkuar mos ta shfaqnin asnjëherë “Bareshën” – Reagon deputeti i PDK-së,883170,Lajme
"Koronavirusi, ylli i Manchester United pezullohet nga stërvitja",883168,Sport
Mergim Lushtaku tregon pse e vendosi fotografinë e Thaçit në Kuvend,883162,Lajme
"U kthye në fushë pas operacionit në zemër, flet lojtari i Ajaxit",883211,Sport
"Koronavirusi, ylli i Manchester United pezullohet nga stërvitja",883168,Sport
"Lakers lider në Perëndim, Doncic udhëheq Dallasin",883024,Sport
"NBA ‘minierë’ parash, ja cilat janë skuadrat më të pasura",882972,Sport
"Milan – Juventus, ndeshja që thyen rekordin dhe tejkalon parashikimet",882849,Sport
"Napoli mposht Interin, është shumë afër finales ",882826,Sport
Guardiola parashikon shkarkimin,882780,Sport
Rivali i vjetër i Angela Merkelit kandidat për trashëgimtarin e saj,883057,Bota
"E mbajti 31 vjet si skllave seksi, në shtëpi kishte gruan dhe vajzën",883036,Bota
OKB-ja miraton rezolutën për armëpushim në Libi,882905,Bota
Zbulohet virusi i ri misterioz në Brazil,882888,Bota
"Ky është njeriu më i vjetër në botë, lexoni detaje nga jeta e tij",882835,Bota
Tronditen blerësit – gruaja me veshje erotike kalon përmes qendrës tregtare,882791,Bota
​BE paralajmëron: Konflikt i mundshme midis forcave ruse dhe turke,882515,Bota
Kinezët i mbrojnë kafshët nga koronavirusi me maska dhe gota të letrës,882511,Bota
SHBA akuzon Rusinë për një incident me satelitë në hapësirë,882507,Bota
Sanders: Ky është fillimi i fundit të Donald Trump,882497,Bota
SHBA: Strategji e re e kundërzbulimit,882457,Bota
Putin dhe Erdogan diskutojnë për konfliktin në Siri,882453,Bota
Koronavirusi: Evakuohet banka e Singaporit,882445,Bota
"U shoqërua nga policia, Ilda Beljeri sqaron aksidentin: Gruaja u rrëzua vetë, unë ndalova",883100,CultBiz&Review
Aksidentoi 64-vjeçaren – Ilda Bejleri shoqërohet në polici,882919,CultBiz&Review
Labi e publikon këngën e parë pas humbjes së postit të deputetit,882915,CultBiz&Review
Ilda aksidentoi të moshuarën dhe iku nga vendi i ngjarjes? Zbulohet e vërteta,882801,CultBiz&Review
Ky është shqiptari në videoklipin e Selena Gomez,882795,CultBiz&Review
"U tha se mund të jenë ndarë, Arbenita i shpreh dashurinë Feros me një mënyrë shumë të veçantë",882673,CultBiz&Review
Kylie Jenner tregon figurën mbresëlënëse e veshur me fustan,882538,CultBiz&Review
"Aubameyang posedon LaFerrarin milionësh, por puna e tij paguhet shumë",882533,CultBiz&Review
"Sot është një ndër modelet shqiptare më seksi e më të suksesshme, por shihni si dukej Oriola para se të bëhej e famshme!",882415,CultBiz&Review
Aq shumë e paska pëlqyer Kiara Tito këtë mashkull simpatik saqë e kishte edhe idhull,882402,CultBiz&Review
"U largua nga Shqipëria, Trejsi Sejdini realizon ëndrrën e saj, shihni ku është shfaqur!",882396,CultBiz&Review
Kjo është dhurata speciale e Bebe Rexhës për Rita Orën,882528,CultBiz&Review
Ushqehu shëndetshëm dhe qëndro larg kancerit me fruta arror,883098,Biznes
Me këto metoda largoni poret e zgjeruara nga fytyra,882814,Këshilla
Pamje të tmerrshme nga vjedhja në Istog: Hajnat e torturojnë pronarin e dyqanit,883527,Lajme
Wilder “gozhdon” Furyn para rimeçit,883519,Sport
​Presidenti Thaçi takim zyrtar me ambasadorin Grenell,883509,Lajme
Chelsea largon katër futbollistë,883504,Sport
Arrestohet kryesuesi i Bordit të Drejtorëve të Trafikut Urban në Prishtinë,883498,Lajme
"Për çka po hetohet zyrtari i MPB-së, Lufti Menxhiqi?",883476,Lajme
"Albin Kurti u organizoi koktej në ditën e tyre, ashkalinjët nuk i shkojnë",883484,Lajme
"Rruga Besi – Podujevë, me dinamikë të përshpejtuar të punimeve",883479,Lajme
"Thaçi lajmërohet nga Gjermania, tregon çfarë qëndrimi do të mbajë në Konferencën e Mynihut",883467,Lajme
Fotografia e Thaçit përfundon tek ulëset e PDK-së,883466,Lajme
Kuvendi voton formimin e 14 komisioneve parlamentare,883459,Lajme
"Pas ardhjes së Ziyech, këta janë katër futbollistët që do t’i largojë Chelsea",883452,Sport
U promovua monografia “Futbolli i Kosovës 1919-2019” i autorit Azem Brovina,883362,Sport
Ushtria amerikane përsëri aktivizon “V Corps”,883443,Bota
Në aeroport e Prishtinës janë kontrolluar 12 persona të dyshimtë për koronavirus,883438,Lajme
Dokumenti i Prokurorisë – Për çka po hetohet kryeinspektori i MPB-së Arben Mustafa?,883432,Lajme
"Flet gruaja që pretendon se u përplas nga Ilda Bejleri: Do e kisha falur, vetëm të ndalonte",883427,CultBiz&Review
Klea Huta e shqetësuar pasi dikush ka ndërhyrë në privatësinë e saj,883421,CultBiz&Review
PSD ia kujton Kurtit deklaratat e rënda të Albulena Haxhiut kur Shpend Ahmeti e takonte Hashim Thaçin,883417,Lajme
"Fero pozon i zhveshur nga banjo, zbulon tatuazhet që ka në trup",883415,CultBiz&Review
Wilder “gozhdon” Furyn para rimeçit,883519,Sport
Chelsea largon katër futbollistë,883504,Sport
U promovua monografia “Futbolli i Kosovës 1919-2019” i autorit Azem Brovina,883362,Sport
"Pas ardhjes së Ziyech, këta janë katër futbollistët që do t’i largojë Chelsea",883452,Sport
"Premier League: Rrezikohet anulimi i xhiros së ardhshme, kjo është arsyeja",883358,Sport
Zyrtare: Gjilani përforcohet me sulmuesin e krahut,883323,Sport
Zyrtare: Hakim Ziyech futbollist i Chelseat,883297,Sport
Letrat e dashurisë që Dritëroi i dërgonte Sadijes në vitet ’60,884229,Kulturë
"Jahjaga në Mynih, flet për barrierat gjinore të grave në pozita udhëheqëse",884232,Lajme
"U lansua më 2010, vetëm tani është përhapur në masë të madhe – disa fakte për “Coin Master”",884225,Biznes
Shefi i Facebook-ut “i lumtur që do t’i paguajë më shumë taksa Evropës“,884220,Biznes
Facebook po eksperimenton me një aplikacion të ngjashëm me Pinterest,884216,Biznes
Shfrytëzuesit e Apple Watch tani mund t’i dërgojë të dhënat e ushtrimeve direkt në Strava,884212,Biznes
Thirrje urgjente qeverisë Kurti,883882,OP-ED
"Koronavirusi, përfundon karantina për studenten Silva Doçi",884202,Lajme
Lajm i shkëlqyer për Real Madridin ,884204,Sport
Policia e Kosovës kërkon ndihmë për të kapur Bashkim Hotin,884193,Lajme
"​“Kosova e Serbia janë bllokuar, shkak elita politike e të dyja vendeve”",884196,Lajme
ATK suspendon dy zyrtarë që u kapën për marrje ryshfeti në Fushë Kosovë,884184,Lajme
Setien: Ja pse e grumbullova Manajn në skuadrën e parë,884188,Sport
Albini Kurti e Glauku Konjufca udhëtojnë për në Mynih bashkë me Hashimin,884179,Lajme
Kështu duket virusi kinez,884168,Bota
"Ditëlindja e Kosovës, Donald Trump ka një urim të veçantë",884165,Lajme
"Pamje të tmerrshme, momenti kur luani i detit kafshon 25-vjeçaren",884150,Bota
"PSD sulmon ashpër Kurtin: Po fshihet, ka zgjedhur “politikën e strucit”",884151,Lajme
"Policia kërkon ndihmën: Nëse e shihni këtë person, na lajmëroni menjëherë",884146,Lajme
Klopp jep lajmin e keq për Xherdan Shaqirin,884143,Sport
Lajm i shkëlqyer për Real Madridin ,884204,Sport
Setien: Ja pse e grumbullova Manajn në skuadrën e parë,884188,Sport
Klopp jep lajmin e keq për Xherdan Shaqirin,884143,Sport
Publikohet lista e Kombëtares së Kosovës,884117,Sport
Ja çfarë poston Vedat Muriqi për Shën Valentin ,884069,Sport
Ish futbollisti i Barcelonës: Messi i fsheh problemet e klubit,884018,Sport
Fury flet hapur: Ky boksier e ka grushtin më të fuqishëm,883945,Sport
Kjo është dita kur do të tërhiqet shorti për gjysmëfinalet e Kupës së Kosovës,883907,Sport
Lojtari i Barcelonës del hapur: Dua të luaj me Cristiano Ronaldon,883839,Sport
"Fitoi Sociedadi, kështu u vlerësua Januzaj",883780,Sport
"Dikur luante për Milanin e Juventusin, tash për ekipin në Serie C",883776,Sport
Sot prezantohet trajneri i Përfaqësueses së Kosovës,883769,Sport
Pioli nuk përmbahet pas barazimit ndaj Juventusit,883756,Sport
Ish gjyqtari italian tregon a ishte penalti rasti i Ronaldos,883748,Sport
Futbollisti shqiptar ndërron skuadër,883714,Sport
Milan e Juventus luajnë baras në ndeshjen e parë të Kupës,883701,Sport
Arteta flet rreth akuzave të Emery në drejtim të tij,883691,Sport
KB Peja kualifikohet në finale të Kupës së Kosovës,883666,Sport
Paratici flet për të ardhmen e Sarrit e Ronaldos,883633,Sport
"Formacionet zyrtare, AC Milan-Juventus",883600,Sport
